regid,removed,removed_date
100002,0,
100003,0,
100004,0,
100005,0,
100006,0,
100007,0,
100008,0,
100009,0,
100010,0,
100011,0,
100012,0,
100013,0,
100015,0,
100016,0,
100017,0,
100018,0,
100019,1,2016-04-27
100022,0,
100024,0,
100025,0,
100026,0,
100027,0,
100028,1,2019-04-16
100029,0,
100030,0,
100031,1,2019-05-10
100032,0,
100033,0,
100034,0,
100036,0,
100037,0,
100038,0,
100039,0,
100040,0,
100041,0,
100042,0,
100045,0,
100046,0,
100047,0,
100048,1,2017-04-20
100049,0,
100050,1,2016-04-19
100051,0,
100052,0,
100053,0,
100054,1,2017-09-06
100055,0,
100057,0,
100058,0,
100059,0,
100060,1,2017-07-25
100061,0,
100062,0,
100063,0,
100064,0,
100065,1,2017-04-04
100066,0,
100067,0,
100068,0,
100069,0,
100070,0,
100071,0,
100072,1,2018-03-08
100073,0,
100074,0,
100075,1,2018-02-05
